"Item","Plat","Status"
Ballistica Prime Upper Limb,1,Online
Banshee Prime Systems,44,Online
Hydroid Prime Blueprint,4,Online
Mirage Prime Neuroptics,1,Online
Lex Prime Receiver,3,Online
Nami Skyla Prime Blueprint,0,Online
Paris Prime Blueprint,0,Online
Akbolto Prime Receiver,8,Online
Paris Prime Upper Limb,0,Online
Akbolto Prime Blueprint,0,Online
Scindo Prime Blade,21,Online
Silva & Aegis Prime Hilt,2,Online
Silva & Aegis Prime Blueprint,0,Online
Mag Prime Blueprint,58,Online
Euphona Prime Receiver,49,Online
Banshee Prime Blueprint,1,Online
Odonata Prime Wings,19,Online
Odonata Prime Blueprint,14,Online
Vectis Prime Blueprint,3,Online
Euphona Prime Barrel,4,Online
Zephyr Prime Systems,9,Online
Tiberon Prime Blueprint,1,Online
Helios Prime Systems,4,Online
Nami Skyla Prime Blade,19,Online
Tiberon Prime Stock,9,Online
Kronen Prime Handle,4,Online
Mirage Prime Chassis,6,Online
Mirage Prime Blueprint,24,Online
Tiberon Prime Receiver,0,Online
Mirage Prime Systems,4,Online
Kogake Prime Blueprint,1,Online
Kronen Prime Blueprint,0,Online
Tiberon Prime Barrel,12,Online
Zephyr Prime Neuroptics,0,Online
Kronen Prime Blade,14,Online
Limbo Prime Blueprint,1,Online
Limbo Prime Neuroptics,8,Online
Destreza Prime Blueprint,0,Online
Chroma Prime Blueprint,2,Online
Limbo Prime Systems,1,Online
Gram Prime Handle,13,Online
Limbo Prime Chassis,21,Online
Gram Prime Blade,0,Online
Nekros Prime Systems,49,Online
Chroma Prime Systems,12,Online
Chroma Prime Neuroptics,12,Online
Mesa Prime Chassis,0,Online
Mesa Prime Systems,18,Online
Chroma Prime Chassis,0,Online
Akjagara Prime Barrel,8,Online
Akjagara Prime Blueprint,0,Online
Galatine Prime Handle,2,Online
Rubico Prime Receiver,0,Online
Rubico Prime Stock,4,Online
Galatine Prime Blade,3,Online
Rubico Prime Blueprint,9,Online
Galatine Prime Blueprint,39,Online
Trinity Prime Chassis,7,Online
Nekros Prime Blueprint,64,Online
Trinity Prime Systems,13,Online
Dual Kamas Prime Blade,69,Online
Dual Kamas Prime Handle,9,Online
Kavasa Prime Collar Buckle,16,Online
Kavasa Prime Collar Band,3,Online
Akvasto Prime Blueprint,59,Online
Akvasto Prime Link,14,Online
Mesa Prime Blueprint,0,Online
Equinox Prime Neuroptics,5,Online
Redeemer Prime Blueprint,1,Online
Tipedo Prime Handle,23,Online
Tipedo Prime Blueprint,0,Online
Tipedo Prime Ornament,1,Online
Equinox Prime Chassis,0,Online
Stradavar Prime Receiver,0,Online
Stradavar Prime Blueprint,1,Online
Vauban Prime Blueprint,9,Online
Equinox Prime Blueprint,7,Online
Tigris Prime Barrel,4,Online
Valkyr Prime Chassis,39,Online
Venka Prime Gauntlet,37,Online
Cernos Prime Blueprint,0,Online
Valkyr Prime Systems,9,Online
Cernos Prime Lower Limb,9,Online
Cernos Prime Upper Limb,3,Online
Cernos Prime Grip,3,Online
Valkyr Prime Blueprint,1,Online
Cernos Prime String,5,Online
Venka Prime Blades,3,Online
Carrier Prime Cerebrum,7,Online
Saryn Prime Chassis,69,Online
Saryn Prime Blueprint,14,Online
Carrier Prime Systems,4,Online
Saryn Prime Neuroptics,6,Online
Kogake Prime Boot,1,Online
Spira Prime Blueprint,3,Online
Akbolto Prime Link,1,Online
Kogake Prime Gauntlet,9,Online
Zephyr Prime Blueprint,14,Online
Destreza Prime Blade,13,Online
Akbolto Prime Barrel,0,Online
Gram Prime Blueprint,0,Online
Mesa Prime Neuroptics,9,Online
Redeemer Prime Handle,24,Online
Akjagara Prime Link,0,Online
Equinox Prime Systems,11,Online
Stradavar Prime Barrel,2,Online
Stradavar Prime Stock,9,Online
Atlas Prime Chassis,5,Online
Atlas Prime Neuroptics,18,Online
Dethcube Prime Carapace,3,Online
Atlas Prime Systems,3,Online
Atlas Prime Blueprint,1,Online
Dethcube Prime Cerebrum,11,Online
Tekko Prime Gauntlet,8,Online
Dethcube Prime Blueprint,9,Online
Dethcube Prime Systems,8,Online
Tekko Prime Blade,21,Online
Tekko Prime Blueprint,1,Online
Ivara Prime Blueprint,17,Online
Ivara Prime Neuroptics,9,Online
Ivara Prime Systems,44,Online
Baza Prime Blueprint,23,Online
Ivara Prime Chassis,24,Online
Aksomati Prime Link,39,Online
Baza Prime Stock,44,Online
Aksomati Prime Receiver,22,Online
Aksomati Prime Blueprint,1,Online
Baza Prime Receiver,5,Online
Baza Prime Barrel,6,Online
Aksomati Prime Barrel,18,Online
